prompt,response,value
Who invented the telescope?,"The invention of the telescope is attributed to Hans Lippershey, a Dutch eyeglass maker. He is often credited with the invention of the refracting telescope, which uses lenses to gather and focus light. Lippershey applied for a patent for his telescope design in 1608, although there were claims of similar inventions by other individuals around the same time. Nevertheless, Lippershey's contributions are widely recognized in the history of the telescope. Credit for the invention of the telescope is also given to individuals who independently developed similar devices around the same time, including Jacob Metius and Zacharias Janssen in the Netherlands, and Giovanni Battista Della Porta in Italy.

These early telescopes were simple optical instruments consisting of a combination of lenses or curved mirrors that magnified distant objects. They were initially used for terrestrial observations, such as military and naval purposes. However, the telescope's potential for astronomical observations quickly became apparent, leading to significant advancements in our understanding of the universe.",1
When did the Tour de France begin? ,"The Tour de France, one of the most prestigious and iconic cycling races in the world, began in 1903. The inaugural edition of the Tour de France was organized by the French newspaper L'Auto as a means to boost circulation. The race was conceived by Henri Desgrange, the editor of L'Auto, and Geo Lefèvre, a journalist for the newspaper. The first Tour de France consisted of six stages, covering a total distance of approximately 2,428 kilometers (1,509 miles), and took place from July 1 to July 19, 1903. It started and ended in Paris, with stages passing through cities and towns across France. The race was a success, capturing the imagination of the French public and establishing the Tour de France as an enduring sporting event.",1
When did dinosaurs go extinct? ,"Dinosaurs went extinct approximately 65 million years ago, at the end of the Cretaceous Period. This mass extinction event, known as the Cretaceous-Paleogene (K-Pg) extinction event, resulted in the disappearance of not only the dinosaurs but also many other species of plants and animals. The exact cause of the extinction event is still debated among scientists, but it is widely believed to have been triggered by a combination of factors, including a massive asteroid impact, volcanic activity, climate change, and other environmental disruptions. This cataclysmic event paved the way for the rise of mammals and eventually led to the diversity of life forms that exist on Earth today.",1
When was Cadbury founded?,"Cadbury, the British multinational confectionery company known for its chocolate products, was founded in 1824. The company was established by John Cadbury in Birmingham, England. Initially, Cadbury operated as a small grocer's shop selling cocoa and drinking chocolate. In 1831, John Cadbury's brother, Benjamin Cadbury, joined the business, and they expanded their operations to include manufacturing cocoa and chocolate products.

Over the years, Cadbury grew into one of the world's largest and most recognizable chocolate brands, known for its Dairy Milk chocolate, Cadbury Creme Eggs, and other popular products. In 2010, Cadbury was acquired by the American multinational confectionery company Kraft Foods (now Mondelēz International).",1
When was Haribo founded?,"Haribo, the German confectionery company famous for its gummy candies, was founded in 1920. The company's name ""Haribo"" is an acronym formed from the founder's name and the city where it was founded. Hans Riegel Sr., a confectioner from Bonn, Germany, established Haribo and began producing gummy candies, including the iconic ""Goldbears"" (Gummibärchen), which became one of the company's most popular products.

Since its founding, Haribo has grown into one of the largest and most successful confectionery companies globally, with a wide range of products sold in numerous countries around the world. The company's headquarters remains in Bonn, Germany.",1
When was Guy Fawkes plot discovered?,"The Gunpowder Plot, also known as the Guy Fawkes Plot, was discovered on November 5, 1605. Guy Fawkes, along with a group of Catholic conspirators, had planned to blow up the Houses of Parliament in London during the state opening, which was scheduled for that day. The plot aimed to assassinate King James I and much of the Protestant aristocracy, thus sparking a revolt against Protestant rule in England.

However, the plot was foiled when authorities received an anonymous letter warning them of the impending attack. Guy Fawkes was discovered in the cellar beneath the House of Lords with barrels of gunpowder, ready to carry out the explosion. He was arrested, and subsequent interrogations led to the arrest and execution of other conspirators.

To commemorate the failure of the Gunpowder Plot and the survival of King James I, November 5th became known as Guy Fawkes Night in England. It is celebrated with fireworks, bonfires, and the burning of effigies of Guy Fawkes, who has since become a symbol of rebellion against tyranny.",1
When was JFK assassinated?,"John F. Kennedy, the 35th President of the United States, was assassinated on November 22, 1963. He was shot and killed while riding in a motorcade in Dealey Plaza in Dallas, Texas. The exact circumstances surrounding his assassination have been the subject of much speculation and investigation over the years, but it is widely believed that Lee Harvey Oswald, acting alone, fired the shots that killed President Kennedy. The assassination of JFK had a profound impact on the United States and the world, leading to investigations, conspiracy theories, and changes in security procedures for public officials.",1
When did Donald Trump become president?,"Donald Trump became the 45th President of the United States on January 20, 2017, following his victory in the 2016 presidential election. He served as President until January 20, 2021, completing one term in office.",1
When did Kobe Bryant die?,"Kobe Bryant, the legendary basketball player, tragically passed away on January 26, 2020, in a helicopter crash in Calabasas, California, United States.",1
When did LeBron James debut in the NBA?,"LeBron James made his NBA debut on October 29, 2003. He played his first game for the Cleveland Cavaliers against the Sacramento Kings.",1
When did Lionel Messi make his debut?,"Lionel Messi made his professional debut for FC Barcelona on October 16, 2004. He came on as a substitute in a league match against Espanyol, marking the beginning of his illustrious career with the club.",1
When did Cristiano Ronaldo make his debut?,"Cristiano Ronaldo made his professional debut for Sporting Lisbon's first team on October 7, 2002, at the age of 17. He played in a Primeira Liga match against Moreirense, marking the beginning of his professional football career.",1
How old was Michael Jackson when he died?,"Michael Jackson passed away on June 25, 2009, at the age of 50.",1
Where is the world’s largest tree?,"As of my last update in January 2022, the world's largest tree by volume is a giant sequoia named General Sherman, located in the Giant Forest of Sequoia National Park in California, United States. General Sherman is estimated to be around 2,200 years old and stands approximately 275 feet (83 meters) tall. Its trunk volume is estimated to be around 52,508 cubic feet (1,487 cubic meters). However, please note that there might be updates or new discoveries since then, so it's a good idea to verify the current status.",1
What country and city is the Mona Lisa held in?,"The Mona Lisa is held in the Louvre Museum, which is located in Paris, France.",1
At what age did Queen Elizabeth II ascend the throne?,"Queen Elizabeth II ascended to the throne on February 6, 1952, following the death of her father, King George VI. At that time, she was 25 years old.",1
